       0    1    2     3        4        5        6         7
0    0.8  1.0  0.4  10.0  5.39875  1.85638  2.01774  10.96816
1    0.7  0.7  1.0  10.0  5.81861  2.11889  3.00214  11.49018
2    0.6  0.9  0.7  10.0  5.84058  2.19899  2.52520  11.60612
3    0.1  0.2  0.3  10.0  5.84280  2.39729  2.99178  13.27052
4    0.9  0.4  0.3  10.0  5.95372  2.26352  2.00852  11.49055
5    0.9  0.9  1.0  10.0  6.01003  1.72644  2.98779  10.59061
6    0.5  0.6  0.1  10.0  6.02628  2.75459  1.01334  15.03958
7    0.8  0.8  0.2  10.0  6.06970  2.33628  1.00994  10.56790
8    0.5  0.4  0.4  10.0  6.09929  2.08087  2.25494  10.74427
9    0.8  0.5  0.3  10.0  6.10853  2.08003  1.52477   9.56530
10   0.3  0.2  0.3  10.0  6.13205  2.58968  1.03478  12.28258
11   0.3  0.8  0.6  10.0  6.16497  2.02359  1.00949   8.98966
12   0.3  0.9  1.0  10.0  6.19628  2.35835  1.01365  10.49353
13   0.4  0.3  0.9  10.0  6.20642  2.29752  2.01112  10.51673
14   0.7  0.9  0.6  10.0  6.20717  2.08628  2.07883  10.67197
15   0.8  1.0  0.9  10.0  6.20990  2.81175  1.39186  15.71408
16   0.5  0.3  0.2  10.0  6.21470  2.13054  2.09383  11.26064
17   0.9  0.9  0.1  10.0  6.22927  1.96265  2.13877  12.76632
18   0.5  0.5  0.3  10.0  6.25064  2.30149  1.49491  11.06610
19   0.9  0.9  0.5  10.0  6.25168  2.28239  1.34609  10.63250
20   0.1  0.5  0.3  10.0  6.25368  2.24828  2.05510  10.31266
21   0.5  0.3  0.5  10.0  6.25834  1.87616  3.01422  10.25913
22   1.0  0.7  0.2  10.0  6.26441  2.22441  3.06208  12.19692
23   0.7  0.2  0.5  10.0  6.27288  2.70312  2.73045  11.75367
24   0.5  0.9  0.4  10.0  6.27364  2.82125  1.99645  12.79896
25   0.5  0.1  0.8  10.0  6.28438  2.31343  2.91853  13.99543
26   0.6  0.9  0.9  10.0  6.28871  2.09836  1.73557  11.29126
27   0.9  0.2  0.1  10.0  6.29159  2.27579  1.45647   9.95865
28   0.7  0.7  0.5  10.0  6.30287  2.33535  2.23340  10.66744
29   0.7  0.6  0.9  10.0  6.30392  2.23906  3.85575  13.37848
30   0.9  0.6  0.1  10.0  6.32177  2.49400  2.19360  12.98938
31   0.3  0.4  0.9  10.0  6.32618  2.02386  2.52494  10.11799
32   0.8  0.4  0.4  10.0  6.32702  2.07695  2.01567  10.79130
33   0.2  0.3  0.9  10.0  6.33562  2.22855  2.12472  11.25145
34   0.1  1.0  0.4  10.0  6.33737  1.61510  4.19418   9.97183
35   0.5  0.5  0.9  10.0  6.34271  2.07787  2.68966  10.88036
36   0.9  0.6  0.9  10.0  6.34692  1.67564  2.99596   9.26179
37   0.4  0.8  0.5  10.0  6.35063  2.50645  1.01778  14.15432
38   0.8  0.8  0.5  10.0  6.35556  3.13491  0.03322  16.99335
39   0.7  0.2  0.3  10.0  6.35661  2.64475  2.01378  14.48594
40   0.8  0.2  0.1  10.0  6.36372  2.10010  2.59982  11.95881
41   0.6  0.7  0.1  10.0  6.36602  2.33865  2.02635  12.01888
42   1.0  0.8  0.5  10.0  6.37009  2.64761  2.00819  13.01550
43   0.8  1.0  0.3  10.0  6.37096  2.13073  2.77846  13.22583
44   0.6  1.0  0.3  10.0  6.37450  2.74392  1.77936  12.12430
45   0.1  0.1  0.1  10.0  6.39949  2.26090  2.15637  10.97886
46   0.6  0.3  0.7  10.0  6.40311  2.39861  2.75829  12.02785
47   0.2  0.4  0.1  10.0  6.40839  2.23065  3.00219  11.21056
48   0.4  1.0  0.4  10.0  6.41526  2.42440  2.01179  11.18600
49   0.2  0.6  0.8  10.0  6.41644  2.25038  2.01145  12.74487
50   0.3  0.3  0.8  10.0  6.41943  1.88568  3.29631  10.15495
51   0.7  0.5  0.5  10.0  6.42310  2.42047  1.72677  12.20760
52   1.0  0.1  0.3  10.0  6.42436  2.37651  2.41463  13.16380
